,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
16837,DB338332,0.29471209060010506,SLN,0.7420400273466036,BQ774526,0.2219565714629256,LINC01854,0.3221477936322036,BE439622,0.5558406660698775,CCDC157,0.08744950458745668
16838,BC008699,0.2947049273879584,MTHFD2P1,0.7420373452485454,NMUR1,0.2219507671737334,SLC4A4,0.32212077363940594,CCDC42,0.5558315621772592,AKR1B1,0.0874491165104812
16839,NEK9,0.2946883372765719,GNRHR,0.741964285139378,BF509065,0.22195069762221933,LRP2BP,0.3221158863998284,ZNF574,0.5558175303670413,CASS4,0.0874490672025902
16840,AI026890,0.2946709690432907,FAM47C,0.7419453927926528,AW245966,0.22194579432191394,DEAF1,0.32211072483821146,BC038549,0.5558148130982977,MYL3,0.08744873808322495
16841,WASH3P_3,0.29466311969310616,CLCA4,0.7419134056218336,KRT79,0.22194505557867916,DB009474,0.3221087174956644,AA904659,0.5558034414643995,CTIF,0.08744740849744634
16842,ALDH8A1,0.29464554372798996,TAS2R7,0.7418910112594607,CHI3L2,0.22194331942867696,C4orf27,0.32210381436989943,EIF2B2,0.5556904083744103,TMEM126A,0.08744650285081673
16843,TIMELESS,0.2946406669704917,BM728728,0.7418625703055713,CK299443,0.221935174156273,FLT4,0.32208437140138857,ATP8B5P,0.5556860496649104,NAP1L2,0.08744372595016886
16844,HSD17B4,0.2946314440742782,XAGE1A,0.741834123771711,BX096436,0.2219294418168004,ZNF787,0.3220690564295138,AW162740,0.5555631889507877,AA515586,0.08743907090309937
16845,BF056119,0.29462130488988564,DB069547,0.741794920275973,NUP35,0.2219137869895088,C12orf5,0.3220508179762723,ACE,0.5555453443538072,BG928102,0.08743746217580858
16846,PCDHB15,0.29461662460831367,PCDH10,0.7417678784386038,BX101409,0.22190776320863656,CAMKMT,0.32200896192276435,HNF4A,0.5554597821417793,GZF1,0.08743248562953822
16847,FAM179A,0.2946054582530539,CCR3,0.7417305145971372,AI671709,0.22190645643696402,LOC440742,0.3220058279229207,BX112966,0.5554343796647673,AI280392,0.087432306420562
16848,RPP25,0.29459680603744515,OR6Q1,0.7417277836085241,AI911349,0.22188944089240775,LOC728012,0.3219987274521042,CK822032,0.555408233369319,LINC01118,0.08743041246825659
16849,CRB1,0.2945644659034548,BP395947,0.7417194385616686,BG911604,0.22188114245203527,ZNF18,0.3219833044308129,BU676723,0.555405192620083,LINC03034,0.08743024007668272
16850,MSH5,0.29455651410847716,H05469,0.7416756949894061,TRIM15,0.22188052729886604,BX105693,0.32198201125877707,TSPY3,0.5553954559962497,AW296478,0.08742921543641129
16851,SLC25A2,0.2945460634078868,DB305476,0.741609841636713,TRIM64,0.22187664067411778,FYCO1,0.3219615166191285,CLEC4E,0.5553707169876807,TMEM179B,0.08742900862450419
16852,ZNF276,0.29453708552566304,BM661570,0.7415431647578776,G3BP2,0.22187521163281398,HMX1,0.32195101324710723,AW451816,0.5553460385307861,UNC50,0.08742817189769246
16853,KLHL9,0.29453255034377496,FOXB1,0.7414077441959073,BU626566,0.22187493892401233,LOC283674,0.32191723164724884,DRD3,0.5553141998840719,BX100411,0.0874275437083125
16854,BM695673,0.2945244910323221,HMX2,0.7413518448806067,GABRG2,0.22186882695902177,PGBD4,0.32185615827631947,FAM75D3,0.5552668205323467,UOX,0.08742712485795809
16855,GTPBP2,0.2945207994902084,AA972114,0.7413439338295734,ZBTB11,0.22186430103107346,BM724008,0.3218492966006778,RPS10,0.5552390827260698,CA428473,0.08742545824530497
16856,BU609202,0.29451388811926266,AF052141,0.7413256695994955,ONECUT1,0.22186375176071713,AI073507,0.3218479375659739,CA433753,0.5552170452208524,PAGE3,0.08742337352785656
16857,FBXO15,0.2945044235196135,AA431122,0.7412623667822789,C6orf185,0.2218503540785326,CEACAM20,0.3218452530601114,NCAPD2,0.5551167930262089,COL25A1,0.08741997914726653
16858,AI886751,0.2944895669589929,BE327662,0.7412583576832144,IAPP,0.22184621529174503,N58788,0.32184416459243237,AI270582,0.5551127463414758,C17orf47,0.08741847765191227
16859,NUDT19,0.2944575379635372,WBSCR17,0.7411506405724826,BF027154,0.22184123439669126,PPA1,0.32180234602367797,ANO9,0.555105931826582,LAMP2,0.08741488069330726
16860,LBH,0.294455806904502,ALOX15,0.7411411051550402,ZNF157,0.22183657075586616,BF984331,0.32179766306112634,DA174224,0.5550140826177054,UBTF,0.08740933871551626
16861,ENC1,0.29445124392279126,CA433637,0.7410301932135727,BX104207,0.22182682231104775,AA860924,0.32178151014757433,PLCZ1,0.5549982094283795,TWF1,0.08740725690254728
16862,AI494374,0.29443324942149723,BX111303,0.7409902201398202,FBXO22,0.2218202416098219,MUC15,0.3217598987391006,NR4A3,0.5549708635253842,BQ448415,0.08740703437727616
16863,LRRN4,0.29442235581009374,LOC26080,0.7408789256121573,AK129555,0.22181990095863832,MSX2P1,0.3217571198497688,NEK9,0.554959895403318,CAPZA3,0.08740656018844452
16864,DB296146,0.29441784497463247,BE299461,0.7408558740597033,AW191734,0.2218163664590832,AA913455,0.3217386959568668,POU3F4,0.554816354974927,EXOC2,0.08740434398998859
16865,BI388675,0.29441131574172,BM547616,0.7408423326122064,PAEP,0.22181272788818135,CR597739,0.3217233475042135,CR2,0.5548134143883521,IL17A,0.0874015284847685
16866,DB305492,0.2944020417142894,BE674400,0.7407911420372896,SLC1A7,0.22181119661264598,C1GALT1C1,0.3217210751982127,STRA13,0.5547201596174992,AA806689,0.08740086972647838
16867,U03237,0.2943944332218829,AA568968,0.740786167975211,BSX,0.22181072061944176,ZNRF4,0.3217127168646742,AW628499,0.5546896742010881,EDNRB-AS1,0.08739950252160446
16868,LY6K,0.2943937968792693,OSTCP1,0.7407809210360239,CPLX2,0.22179733527334383,LINC00482,0.3216868051742132,CR625988,0.5545980397806333,RCC1,0.0873943731958682
16869,TOMM20L,0.2943723000150392,AI624241,0.740759768064972,GOLGA6C,0.22179343694470602,BU180880,0.32164663525755555,FAM195B,0.5545862140462341,BX111973,0.08738917809182453
16870,BC034638,0.2943664942141537,ASPN,0.740723199949234,C17orf73,0.2217841801367026,HBG1,0.3216294625302542,AGT,0.5545348133210919,C2orf56,0.08738766445491648
16871,TPD52L2,0.2943616658967072,GPR139,0.7407125220342393,DB338712,0.22178011773670825,FOXA3,0.32162728448966554,NKX6-2,0.5544823253485043,ANO9,0.08738709834958991
16872,ASPA,0.29433605908323385,SERPINE3,0.7407029196492846,TMEM126A,0.22177248592736906,ZNF334,0.3215776777692035,SPIN2A,0.5544465797563901,TRAM2,0.08738247520082623
16873,BX114033,0.2943269972851178,AA758030,0.740696205943045,ZNF713,0.22177123837855484,RDBP,0.3215657389465381,SYTL2,0.5544194636309268,CD370543,0.08737760837511872
16874,GRIN2A,0.2943240376310977,AW135045,0.740674790506412,AF052103,0.22177025478323953,DA442292,0.32156459280389865,LBX1,0.5543105870024314,CA432586,0.08737338172102939
16875,DNAJC5,0.2942985316258004,AK095928,0.7406570202157281,CLDN20,0.22176149272194035,DIRAS3,0.321544915831039,AI910393,0.5542060524914646,MPV17,0.08737194285832305
16876,C20orf72,0.2942820410769285,SCART1,0.7405943334334785,BU609202,0.2217597048016636,RMND5A,0.3215281503481638,TRPC4,0.5541855315758739,NOX5,0.0873696712775395
16877,AI887987,0.2942748403789346,AW197795,0.7405714076648734,ZNF3,0.2217564582136786,FBXO22,0.3215235176821891,IZUMO1,0.5541588726799997,PRRT4,0.08736844462439718
16878,AI760026,0.29426929849300193,AW172888,0.7405614077941627,TAS2R39,0.22175457729841644,DB311601,0.3214950750984948,AW139760,0.554156403324524,LOC100131381,0.08736569839611394
16879,AW444688,0.29425181605449563,FBXO24,0.7405316394319126,FBXO47,0.2217498924624831,RTN4RL2,0.3214893068667671,AW075303,0.5540424752241815,AI820883,0.0873601422079077
16880,GPATCH4,0.29419614957277473,CF530064,0.7405181303686386,PPP6R2,0.22174608940485108,ZC3H6,0.32148846769788647,PRDM13,0.5539913088689634,NAA15,0.087360061765953
16881,TOB2P1,0.2941859491776548,BP394629,0.7404530739848053,H46503,0.22174438644533878,AW006265,0.3214779825209494,PCGF3,0.5539231461243261,CX3CL1,0.0873559068365174
16882,AW627405,0.2941824026333693,BE440107,0.7404211273572532,TRDV2_4,0.2217430955460852,CRIP1,0.3214667555446038,AI809983,0.5539002339982529,CCDC15,0.0873549214748601
16883,AW207553,0.2941797509562927,OR5AR1,0.7403470962444988,BQ028070,0.22174044013798808,SULT4A1,0.32145367152456167,DB305498,0.5538997013904029,FAM182A,0.08734965850951956
16884,NHLH2,0.2941554831440243,AI091296,0.7403326205536558,TXNDC8,0.22173570351021285,LDHC,0.32144898371933406,RIPPLY2,0.5538800362760327,RHOJ,0.08734855637316993
