,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
17169,MAGEB4,0.5974754337616042,FAM118B,1.6116193330320445,MTRNR2L1,0.34409991577307036,NCAN,0.41725594653495857,TOM1L2,0.8882422364630612,TNIP1,0.3000007543940012
17170,BBX,0.5974619699649679,DNTTIP1,1.6115706210092435,RAG1,0.34409872368867817,BX647284,0.4172355967995331,BX096222,0.8882308974087542,NOS1,0.2999876276310529
17171,MTRNR2L1,0.5974615379430716,LAMB3,1.6115668491004724,AA812958,0.34409696271252965,PLK4,0.41722787224446006,FBXO39,0.8881984705164946,BX641445,0.2999873527426507
17172,WDR18,0.5974596875532636,DMXL2,1.6114973783031492,KIAA1429,0.3440930461296226,BTLA,0.4172188181843837,C9orf7,0.8881944045591802,MARCKS,0.29998535989765224
17173,BX088927,0.5974588167751,SNORD48,1.6114859296594817,LINC02175,0.34409247266215015,HOXA5,0.4172078805508338,AIMP1,0.8881868991508087,ARMCX3-AS1,0.29997926534601205
17174,BX647938,0.5974207404251147,MAP6,1.6114820046962632,BX647084,0.34409012056845306,RPL23A,0.4172036368005591,B3GAT3,0.8881787478266642,AI813822,0.29997310890954904
17175,WNT5B,0.5974130836702959,FZD7,1.6114542448421303,FGFR1,0.34408883309992677,TIGD5,0.4172034280887944,DMC1,0.888136434498162,SCAPER,0.2999646031819501
17176,MOSPD2,0.5974045045345607,KCNB1,1.6113781084324341,EHF,0.3440853017813301,LRFN3,0.41720018779934315,AI205822,0.888119384900004,ACVR1,0.2999644292371548
17177,ALG1,0.5973899995296306,CHST7,1.6113756484724535,PIGU,0.34407770980136465,CR592342,0.4171994253281962,POLA2,0.8881116837511064,PHC2,0.2999560230358848
17178,HHIP,0.5973410737939111,CKAP2,1.611360862504865,TPM2,0.3440643800873091,ZBTB32,0.4171957328581908,CD641657,0.8880912516304754,UPP1,0.2999539352895415
17179,PDGFA,0.5973407463914565,SS18L2,1.6112393486309544,BG195902,0.3440631559239516,POP7,0.41718862504608406,C6orf217,0.888085772640539,LOC100128571,0.29995219579583504
